SAP Community Tags;;;;;;;;;;;
"And Associated ""Tag Pages""";;;;;;;;;;;
;;;;;;;;;;;
Tag Names;;;;;;;;Allowed Tagging;Term ID;Associated Tag Page (Click on a link to open the page and follow the tag);
;IBM i;;;;;;(level 1);Primary and secondary;187064712417470272674355769299236;https://go.sap.com/community/tag.html?id=187064712417470272674355769299236;
;IBM z/OS;;;;;;(level 1);Primary and secondary;628174485061243064174468468464391;https://go.sap.com/community/tag.html?id=628174485061243064174468468464391;
;iOS;;;;;;(level 1);Primary and secondary;755536437082376440490589117641654;https://go.sap.com/community/tag.html?id=755536437082376440490589117641654;
;Linux on z;;;;;;(level 1);Primary and secondary;422564609741005395154911447368469;https://go.sap.com/community/tag.html?id=422564609741005395154911447368469;
;Oracle Linux;;;;;;(level 1);Primary and secondary;532034999854801996881837914962902;https://go.sap.com/community/tag.html?id=532034999854801996881837914962902;
;Oracle Solaris;;;;;;(level 1);Primary and secondary;256350110744001612900390935967127;https://go.sap.com/community/tag.html?id=256350110744001612900390935967127;
;Red Hat Enterprise Linux;;;;;;(level 1);Primary and secondary;566117836046276697184412662459974;https://go.sap.com/community/tag.html?id=566117836046276697184412662459974;
;SUSE Linux Enterprise Server;;;;;;(level 1);Primary and secondary;68020287236497694019600446793069;https://go.sap.com/community/tag.html?id=68020287236497694019600446793069;
;Windows Server;;;;;;(level 1);Primary and secondary;507384024606208929025520724038944;https://go.sap.com/community/tag.html?id=507384024606208929025520724038944;
Software Product;;;;;;;(top level);;;;
;;activePDF for Business Objects;;;;;(level 2);Displayed, but not selectable;73554900100700000648;N/A;
;;;activePDF for Business Objects;;;;(level 3);Primary and secondary;01200314690800000637;https://go.sap.com/community/tag.html?id=01200314690800000637;
;;ADVIZOR solutions for Business Objects;;;;;(level 2);Displayed, but not selectable;73554900100700000651;N/A;
;;;ADVIZOR solutions for Business Objects;;;;(level 3);Primary and secondary;01200314690800000638;https://go.sap.com/community/tag.html?id=01200314690800000638;
;;analytic blueprints from SAP;;;;;(level 2);Displayed, but not selectable;73554900100700000653;N/A;
;;;analytic blueprints from SAP;;;;(level 3);Primary and secondary;01200314690800000158;https://go.sap.com/community/tag.html?id=01200314690800000158;
;;Business Objects Intelligence Manager;;;;;(level 2);Displayed, but not selectable;73555000100700000144;N/A;
;;;Business Objects Intelligence Manager;;;;(level 3);Primary and secondary;01200615320800001423;https://go.sap.com/community/tag.html?id=01200615320800001423;
;;Business Objects Performance Management;;;;;(level 2);Displayed, but not selectable;73554900100700000669;N/A;
;;;Business Objects Performance Management;;;;(level 3);Primary and secondary;01200615320800001699;https://go.sap.com/community/tag.html?id=01200615320800001699;
;;BusinessObjects Architect;;;;;(level 2);Displayed, but not selectable;73554900100700000672;N/A;
;;;BusinessObjects Architect;;;;(level 3);Primary and secondary;01200615320800001693;https://go.sap.com/community/tag.html?id=01200615320800001693;
;;BusinessObjects Carat (Cartesis);;;;;(level 2);Displayed, but not selectable;73554900100700000673;N/A;
;;;BusinessObjects Carat (Cartesis);;;;(level 3);Primary and secondary;01200615320800001413;https://go.sap.com/community/tag.html?id=01200615320800001413;
;;BusinessObjects Development Suite Analytics;;;;;(level 2);Displayed, but not selectable;73554900100700000675;N/A;
;;;BusinessObjects Development Suite Analytics;;;;(level 3);Primary and secondary;01200615320800001756;https://go.sap.com/community/tag.html?id=01200615320800001756;
;;BusinessObjects Integrator;;;;;(level 2);Displayed, but not selectable;73554900100700000676;N/A;
;;;BusinessObjects Integrator;;;;(level 3);Primary and secondary;01200615320800001754;https://go.sap.com/community/tag.html?id=01200615320800001754;
;;BusinessObjects Octave;;;;;(level 2);Displayed, but not selectable;73554900100700000677;N/A;
;;;BusinessObjects Octave;;;;(level 3);Primary and secondary;01200615320800001749;https://go.sap.com/community/tag.html?id=01200615320800001749;
;;BusinessObjects Optimis;;;;;(level 2);Displayed, but not selectable;73554900100700000678;N/A;
;;;BusinessObjects Optimis;;;;(level 3);Primary and secondary;01200615320800001755;https://go.sap.com/community/tag.html?id=01200615320800001755;
;;BusinessObjects Personal Trainer;;;;;(level 2);Displayed, but not selectable;73554900100700000679;N/A;
;;;BusinessObjects Personal Trainer;;;;(level 3);Primary and secondary;01200615320800001752;https://go.sap.com/community/tag.html?id=01200615320800001752;
;;BusinessObjects Spatial IQ;;;;;(level 2);Displayed, but not selectable;73554900100700000680;N/A;
;;;BusinessObjects Spatial IQ;;;;(level 3);Primary and secondary;01200615320800001747;https://go.sap.com/community/tag.html?id=01200615320800001747;
;;BusinessObjects Universal Bridge;;;;;(level 2);Displayed, but not selectable;73554900100700000681;N/A;
;;;BusinessObjects Universal Bridge;;;;(level 3);Primary and secondary;01200615320800001411;https://go.sap.com/community/tag.html?id=01200615320800001411;
;;Crystal Analysis;;;;;(level 2);Displayed, but not selectable;73554900100700000700;N/A;
;;;Crystal Analysis;;;;(level 3);Primary and secondary;01200615320800001737;https://go.sap.com/community/tag.html?id=01200615320800001737;
;;;Crystal Analysis Holos;;;;(level 3);Primary and secondary;01200314690800001047;https://go.sap.com/community/tag.html?id=01200314690800001047;
;;Crystal Enterprise;;;;;(level 2);Displayed, but not selectable;73554900100700000701;N/A;
;;;Crystal Enterprise;;;;(level 3);Primary and secondary;01200615320800001750;https://go.sap.com/community/tag.html?id=01200615320800001750;
;;Crystal Info;;;;;(level 2);Displayed, but not selectable;73554900100700000702;N/A;
;;;Crystal Info;;;;(level 3);Primary and secondary;01200615320800001738;https://go.sap.com/community/tag.html?id=01200615320800001738;
;;electronic services invoicing for Brazil (nota fiscal de servicos eletronica);;;;;(level 2);Displayed, but not selectable;73555000100700000014;N/A;
;;;electronic services invoicing for Brazil (nota fiscal de servicos eletronica);;;;(level 3);Primary and secondary;67838200100800006448;https://go.sap.com/community/tag.html?id=67838200100800006448;
;;"project ""Sentinel""";;;;;(level 2);Displayed, but not selectable;73554900100700000750;N/A;
;;;"project ""Sentinel""";;;;(level 3);Primary and secondary;67838200100800006387;https://go.sap.com/community/tag.html?id=67838200100800006387;
;;SAP Access Control;;;;;(level 2);Displayed, but not selectable;73554900100700000759;N/A;
;;;SAP Access Control;;;;(level 3);Primary and secondary;01200615320800000796;https://go.sap.com/community/tag.html?id=01200615320800000796;
;;;SAP GRC Access Enforcer for SAP NetWeaver;;;;(level 3);Primary and secondary;01200314690800000192;https://go.sap.com/community/tag.html?id=01200314690800000192;
;;;SAP GRC Compliance Calibrator for SAP NetWeaver;;;;(level 3);Primary and secondary;01200615320800000672;https://go.sap.com/community/tag.html?id=01200615320800000672;
;;;SAP GRC Firefighter for SAP NetWeaver;;;;(level 3);Primary and secondary;01200314690800000195;https://go.sap.com/community/tag.html?id=01200314690800000195;
;;;SAP GRC Role Expert for SAP NetWeaver;;;;(level 3);Primary and secondary;01200314690800000196;https://go.sap.com/community/tag.html?id=01200314690800000196;
;;SAP Access Violation Management by Greenlight;;;;;(level 2);Displayed, but not selectable;73554900100700000760;N/A;
;;;SAP Access Violation Management by Greenlight;;;;(level 3);Primary and secondary;67838200100800006760;https://go.sap.com/community/tag.html?id=67838200100800006760;
;;SAP assurance and compliance software;;;;;(level 2);Displayed, but not selectable;73554900100700000786;N/A;
;;;SAP assurance and compliance software;;;;(level 3);Primary and secondary;01200314690800003391;https://go.sap.com/community/tag.html?id=01200314690800003391;
;;SAP BusinessObjects Analysis;;;;;(level 2);Displayed, but not selectable;73554900100700000813;N/A;
;;;SAP BusinessObjects Analysis, edition for Microsoft Office;;;;(level 3);Primary and secondary;01200615320800002846;https://go.sap.com/community/tag.html?id=01200615320800002846;
;;SAP BusinessObjects Business Intelligence;;;;;(level 2);Displayed, but not selectable;73554900100700000814;N/A;
;;;BI rapid-configuration package for SAP HANA;;;;(level 3);Primary and secondary;01200314690800003105;https://go.sap.com/community/tag.html?id=01200314690800003105;
;;;BusinessObjects Edge integration for SAP solutions;;;;(level 3);Primary and secondary;01200314690800000352;https://go.sap.com/community/tag.html?id=01200314690800000352;
;;;data cleansing package for SAP BusinessObjects BI, Edge edition, version with data management;;;;(level 3);Primary and secondary;01200615320800002287;https://go.sap.com/community/tag.html?id=01200615320800002287;
;;;Edge solutions, professional edition N-tier;;;;(level 3);Primary and secondary;01200314690800000850;https://go.sap.com/community/tag.html?id=01200314690800000850;
;;;Edge solutions, standard edition N-tier;;;;(level 3);Primary and secondary;01200314690800000851;https://go.sap.com/community/tag.html?id=01200314690800000851;
;;;integration option for Microsoft Office SharePoint software;;;;(level 3);Primary and secondary;01200314690800000809;https://go.sap.com/community/tag.html?id=01200314690800000809;
;;;lifecycle management for SAP BusinessObjects Enterprise;;;;(level 3);Primary and secondary;01200314690800000537;https://go.sap.com/community/tag.html?id=01200314690800000537;
;;;SAP BusinessObjects BI Location Intelligence by Galigeo;;;;(level 3);Primary and secondary;73554900100800000214;https://go.sap.com/community/tag.html?id=73554900100800000214;
;;;SAP BusinessObjects BI, Edge edition, standard package (not for connection to SAP ERP);;;;(level 3);Primary and secondary;01200615320800001237;https://go.sap.com/community/tag.html?id=01200615320800001237;
;;;SAP BusinessObjects BI, Edge edition, version with data integration (not for connection to SAP ERP);;;;(level 3);Primary and secondary;01200615320800001227;https://go.sap.com/community/tag.html?id=01200615320800001227;
;;;SAP BusinessObjects BI, Edge edition, version with data management (not for connection to SAP ERP);;;;(level 3);Primary and secondary;01200615320800001261;https://go.sap.com/community/tag.html?id=01200615320800001261;
;;;SAP BusinessObjects Business Intelligence platform;;;;(level 3);Primary and secondary;01200314690800000337;https://go.sap.com/community/tag.html?id=01200314690800000337;
;;;SAP BusinessObjects Business Intelligence platform for Android;;;;(level 3);Primary and secondary;67838200100800004729;https://go.sap.com/community/tag.html?id=67838200100800004729;
;;;SAP BusinessObjects Business Intelligence, Edge edition, standard package;;;;(level 3);Primary and secondary;01200314690800000351;https://go.sap.com/community/tag.html?id=01200314690800000351;
;;;SAP BusinessObjects Business Intelligence, Edge edition, version with data integration;;;;(level 3);Primary and secondary;01200615320800001230;https://go.sap.com/community/tag.html?id=01200615320800001230;
;;;SAP BusinessObjects Business Intelligence, Edge edition, version with data management;;;;(level 3);Primary and secondary;01200615320800001229;https://go.sap.com/community/tag.html?id=01200615320800001229;
;;;SAP BusinessObjects Enterprise, advanced administration package;;;;(level 3);Primary and secondary;01200314690800001521;https://go.sap.com/community/tag.html?id=01200314690800001521;
;;;SAP BusinessObjects Experience;;;;(level 3);Primary and secondary;67838200100800004069;https://go.sap.com/community/tag.html?id=67838200100800004069;
;;;SAP BusinessObjects Integration for Baan software;;;;(level 3);Primary and secondary;01200615320800001321;https://go.sap.com/community/tag.html?id=01200615320800001321;
;;;SAP BusinessObjects Integration, version for ESRI GIS software;;;;(level 3);Primary and secondary;01200615320800001322;https://go.sap.com/community/tag.html?id=01200615320800001322;
;;;SAP BusinessObjects Integration, version for for JD Edwards EnterpriseOne applications;;;;(level 3);Primary and secondary;01200314690800001037;https://go.sap.com/community/tag.html?id=01200314690800001037;
;;;SAP BusinessObjects Integration, version for Microsoft Outlook;;;;(level 3);Primary and secondary;01200314690800001522;https://go.sap.com/community/tag.html?id=01200314690800001522;
;;;SAP BusinessObjects Integration, version for Oracle E-Business Suite;;;;(level 3);Primary and secondary;01200314690800001027;https://go.sap.com/community/tag.html?id=01200314690800001027;
;;;SAP BusinessObjects Integration, version for PeopleSoft Enterprise applications;;;;(level 3);Primary and secondary;01200615320800001323;https://go.sap.com/community/tag.html?id=01200615320800001323;
;;;SAP BusinessObjects Integration, version for SAP BusinessObjects Predictive Workbench by IBM;;;;(level 3);Primary and secondary;01200314690800000869;https://go.sap.com/community/tag.html?id=01200314690800000869;
;;;SAP BusinessObjects Integration, version for SAP solutions;;;;(level 3);Primary and secondary;01200314690800000338;https://go.sap.com/community/tag.html?id=01200314690800000338;
;;;SAP BusinessObjects Integration, version for Siebel software;;;;(level 3);Primary and secondary;01200615320800001422;https://go.sap.com/community/tag.html?id=01200615320800001422;
;;;SAP BusinessObjects Mobile;;;;(level 3);Primary and secondary;01200314690800000346;https://go.sap.com/community/tag.html?id=01200314690800000346;
;;;SAP BusinessObjects Mobile for Android;;;;(level 3);Primary and secondary;67837800100800006649;https://go.sap.com/community/tag.html?id=67837800100800006649;
;;;SAP BusinessObjects Mobile for Android SDK;;;;(level 3);Primary and secondary;67838200100800006731;https://go.sap.com/community/tag.html?id=67838200100800006731;
;;;SAP BusinessObjects Mobile for BlackBerry;;;;(level 3);Primary and secondary;67838200100800006042;https://go.sap.com/community/tag.html?id=67838200100800006042;
;;;SAP BusinessObjects Mobile for iPhone and iPad;;;;(level 3);Primary and secondary;67838200100800006071;https://go.sap.com/community/tag.html?id=67838200100800006071;
;;;SAP BusinessObjects Mobile for iPhone and iPad SDK;;;;(level 3);Primary and secondary;67837800100800006650;https://go.sap.com/community/tag.html?id=67837800100800006650;
;;SAP BusinessObjects Cloud;;;;;(level 2);Displayed, but not selectable;73554900100700001571;N/A;
;;;SAP BusinessObjects Cloud;;;;(level 3);Primary and secondary;67838200100800006884;https://go.sap.com/community/tag.html?id=67838200100800006884;
;;SAP BusinessObjects Dashboards;;;;;(level 2);Displayed, but not selectable;73554900100700000817;N/A;
;;;SAP BusinessObjects Dashboards;;;;(level 3);Primary and secondary;01200314690800000342;https://go.sap.com/community/tag.html?id=01200314690800000342;
;;;SAP Crystal Presentation Design;;;;(level 3);Primary and secondary;01200615320800002512;https://go.sap.com/community/tag.html?id=01200615320800002512;
;;;SAP Executive HR Reporting rapid-deployment solution;;;;(level 3);Primary and secondary;67838200100800005190;https://go.sap.com/community/tag.html?id=67838200100800005190;
;;;SAP Operational Headcount Planning rapid-deployment solution;;;;(level 3);Primary and secondary;67838200100800004657;https://go.sap.com/community/tag.html?id=67838200100800004657;
;;;Xcelsius Engage N-tier;;;;(level 3);Primary and secondary;01200314690800000774;https://go.sap.com/community/tag.html?id=01200314690800000774;
;;;Xcelsius Present N-tier;;;;(level 3);Primary and secondary;01200314690800000775;https://go.sap.com/community/tag.html?id=01200314690800000775;
;;;Xcelsius Professional N-tier;;;;(level 3);Primary and secondary;01200314690800000847;https://go.sap.com/community/tag.html?id=01200314690800000847;
;;;Xcelsius Standard N-tier;;;;(level 3);Primary and secondary;01200314690800000776;https://go.sap.com/community/tag.html?id=01200314690800000776;
;;;Xcelsius Workgroup N-tier;;;;(level 3);Primary and secondary;01200314690800000848;https://go.sap.com/community/tag.html?id=01200314690800000848;
;;SAP BusinessObjects Design Studio;;;;;(level 2);Displayed, but not selectable;73554900100700000818;N/A;
;;;SAP BusinessObjects Design Studio;;;;(level 3);Primary and secondary;01200615320800003687;https://go.sap.com/community/tag.html?id=01200615320800003687;
;;SAP BusinessObjects Explorer;;;;;(level 2);Displayed, but not selectable;73554900100700000819;N/A;
;;;SAP BusinessObjects Accelerator;;;;(level 3);Primary and secondary;01200615320800002446;https://go.sap.com/community/tag.html?id=01200615320800002446;
;;;SAP BusinessObjects Explorer;;;;(level 3);Primary and secondary;01200314690800000348;https://go.sap.com/community/tag.html?id=01200314690800000348;
;;;SAP BusinessObjects Explorer for iOS;;;;(level 3);Primary and secondary;67838200100800004068;https://go.sap.com/community/tag.html?id=67838200100800004068;
;;;SAP BusinessObjects Explorer package;;;;(level 3);Primary and secondary;01200314690800001319;https://go.sap.com/community/tag.html?id=01200314690800001319;
;;SAP BusinessObjects Intelligent Search;;;;;(level 2);Displayed, but not selectable;73554900100700000822;N/A;
;;;SAP BusinessObjects Intelligent Search;;;;(level 3);Primary and secondary;01200314690800000349;https://go.sap.com/community/tag.html?id=01200314690800000349;
;;SAP BusinessObjects Intercompany;;;;;(level 2);Displayed, but not selectable;73554900100700001020;N/A;
;;;SAP BusinessObjects Intercompany;;;;(level 3);Primary and secondary;01200314690800000357;https://go.sap.com/community/tag.html?id=01200314690800000357;
;;SAP BusinessObjects Lumira;;;;;(level 2);Primary and secondary;73554900100700001049;https://go.sap.com/community/tag.html?id=73554900100700001049;
;;;SAP BusinessObjects Lumira Cloud;;;;(level 3);Primary and secondary;01200314690800001339;https://go.sap.com/community/tag.html?id=01200314690800001339;
;;;SAP BusinessObjects Lumira, desktop edition;;;;(level 3);Primary and secondary;67837800100800004495;https://go.sap.com/community/tag.html?id=67837800100800004495;
;;;SAP BusinessObjects Lumira, server version for SAP HANA;;;;(level 3);Primary and secondary;67837800100800006430;https://go.sap.com/community/tag.html?id=67837800100800006430;
;;;SAP BusinessObjects Lumira, server version for teams;;;;(level 3);Primary and secondary;73555000100800000046;https://go.sap.com/community/tag.html?id=73555000100800000046;
;;;SAP BusinessObjects Lumira, server version for the SAP BusinessObjects BI platform;;;;(level 3);Primary and secondary;73554900100800000274;https://go.sap.com/community/tag.html?id=73554900100800000274;
;;SAP BusinessObjects Predictive Analytics;;;;;(level 2);Displayed, but not selectable;73554900100700001113;N/A;
;;;SAP BusinessObjects Predictive Analytics;;;;(level 3);Primary and secondary;73555000100800000084;https://go.sap.com/community/tag.html?id=73555000100800000084;
;;;SAP BusinessObjects Predictive Analytics integrator;;;;(level 3);Primary and secondary;73554900100800000499;https://go.sap.com/community/tag.html?id=73554900100800000499;
;;;SAP BusinessObjects Predictive Analytics, OEM edition;;;;(level 3);Primary and secondary;73554900100800000202;https://go.sap.com/community/tag.html?id=73554900100800000202;
;;;SAP InfiniteInsight;;;;(level 3);Primary and secondary;67838200100800006500;https://go.sap.com/community/tag.html?id=67838200100800006500;
;;;SAP InfiniteInsight, OEM edition;;;;(level 3);Primary and secondary;67838200100800006509;https://go.sap.com/community/tag.html?id=67838200100800006509;
;;;SAP Predictive Analysis;;;;(level 3);Primary and secondary;01200615320800003800;https://go.sap.com/community/tag.html?id=01200615320800003800;
;;SAP BusinessObjects Predictive Workbench by IBM;;;;;(level 2);Displayed, but not selectable;73554900100700000823;N/A;
;;;SAP BusinessObjects Predictive Workbench by IBM;;;;(level 3);Primary and secondary;01200314690800000897;https://go.sap.com/community/tag.html?id=01200314690800000897;
;;SAP BusinessObjects Productivity Pack;;;;;(level 2);Displayed, but not selectable;73554900100700000824;N/A;
;;;SAP BusinessObjects Productivity Pack;;;;(level 3);Primary and secondary;01200314690800000347;https://go.sap.com/community/tag.html?id=01200314690800000347;
;;SAP BusinessObjects Quality Management for Healthcare;;;;;(level 2);Displayed, but not selectable;73554900100700000825;N/A;
;;;SAP BusinessObjects Quality Management for Healthcare;;;;(level 3);Primary and secondary;01200615320800002968;https://go.sap.com/community/tag.html?id=01200615320800002968;
;;SAP BusinessObjects Roambi;;;;;(level 2);Displayed, but not selectable;73554900100700001611;N/A;
;;;SAP BusinessObjects Roambi Analytics for Android, co-branded version;;;;(level 3);Primary and secondary;73555000100800000350;https://go.sap.com/community/tag.html?id=73555000100800000350;
;;;SAP BusinessObjects Roambi Analytics for Android, customer enterprise ed., cross-platform version;;;;(level 3);Primary and secondary;73555000100800000375;https://go.sap.com/community/tag.html?id=73555000100800000375;
;;;SAP BusinessObjects Roambi Analytics for Google Chrome;;;;(level 3);Primary and secondary;73555000100800000365;https://go.sap.com/community/tag.html?id=73555000100800000365;
;;;SAP BusinessObjects Roambi Analytics for iOS;;;;(level 3);Primary and secondary;73555000100800000374;https://go.sap.com/community/tag.html?id=73555000100800000374;
;;;SAP BusinessObjects Roambi Analytics for iOS with Good Technology;;;;(level 3);Primary and secondary;73555000100800000385;https://go.sap.com/community/tag.html?id=73555000100800000385;
;;;SAP BusinessObjects Roambi Analytics for iOS, co-branded version;;;;(level 3);Primary and secondary;73555000100800000388;https://go.sap.com/community/tag.html?id=73555000100800000388;
;;;SAP BusinessObjects Roambi Analytics for iOS, customer enterprise edition;;;;(level 3);Primary and secondary;73555000100800000384;https://go.sap.com/community/tag.html?id=73555000100800000384;
;;;SAP BusinessObjects Roambi Analytics for iOS, customer enterprise edition with Good Technology;;;;(level 3);Primary and secondary;73555000100800000386;https://go.sap.com/community/tag.html?id=73555000100800000386;
;;;SAP BusinessObjects Roambi Analytics for iOS, demo version;;;;(level 3);Primary and secondary;73555000100800000349;https://go.sap.com/community/tag.html?id=73555000100800000349;
;;;SAP BusinessObjects Roambi Analytics for iOS, Verizon customer edition;;;;(level 3);Primary and secondary;73555000100800000387;https://go.sap.com/community/tag.html?id=73555000100800000387;
;;;SAP BusinessObjects Roambi Analytics for Windows, co-branded version, cross-platform version;;;;(level 3);Primary and secondary;73555000100800000339;https://go.sap.com/community/tag.html?id=73555000100800000339;
;;;SAP BusinessObjects Roambi Analytics for Windows, cross-platform version;;;;(level 3);Primary and secondary;73555000100800000363;https://go.sap.com/community/tag.html?id=73555000100800000363;
;;;SAP BusinessObjects Roambi Analytics for Windows, internal customer enterprise ed., cross-platform v;;;;(level 3);Primary and secondary;73555000100800000389;https://go.sap.com/community/tag.html?id=73555000100800000389;
;;;SAP BusinessObjects Roambi Customs;;;;(level 3);Primary and secondary;73555000100800000367;https://go.sap.com/community/tag.html?id=73555000100800000367;
;;;SAP BusinessObjects Roambi Enterprise Server;;;;(level 3);Primary and secondary;73555000100800000364;https://go.sap.com/community/tag.html?id=73555000100800000364;
;;;SAP BusinessObjects Roambi Flow for iOS;;;;(level 3);Primary and secondary;73555000100800000390;https://go.sap.com/community/tag.html?id=73555000100800000390;
;;;SAP BusinessObjects Roambi Flow for iOS with Good Technology;;;;(level 3);Primary and secondary;73555000100800000392;https://go.sap.com/community/tag.html?id=73555000100800000392;
